Time,Settlement Period,Day of Week,Predicted_load
2016-01-06 11:00:00,23.0,2,34938.2552830043
2016-01-06 11:30:00,24.0,2,34938.2552830043
2016-01-06 12:00:00,25.0,2,34938.2552830043
2016-01-06 12:30:00,26.0,2,34938.2552830043
2016-01-06 13:00:00,27.0,2,34938.2552830043
2016-01-06 13:30:00,28.0,2,34938.2552830043
2016-01-06 14:00:00,29.0,2,34938.2552830043
2016-01-06 14:30:00,30.0,2,34938.2552830043
2016-01-06 15:00:00,31.0,2,34938.2552830043
2016-01-06 15:30:00,32.0,2,34938.2552830043
2016-01-06 16:00:00,33.0,2,34938.2552830043
2016-01-06 16:30:00,34.0,2,34938.2552830043
2016-01-06 17:00:00,35.0,2,34938.2552830043
2016-01-06 17:30:00,36.0,2,34938.2552830043
2016-01-06 18:00:00,37.0,2,34938.2552830043
2016-01-06 18:30:00,38.0,2,34938.2552830043
2016-01-06 19:00:00,39.0,2,34938.2552830043
2016-01-06 19:30:00,40.0,2,34938.2552830043
2016-01-06 20:00:00,41.0,2,34938.2552830043
2016-01-06 20:30:00,42.0,2,34938.2552830043
2016-01-06 21:00:00,43.0,2,34938.2552830043
2016-01-06 21:30:00,44.0,2,34938.2552830043
2016-01-06 22:00:00,45.0,2,34938.2552830043
2016-01-06 22:30:00,46.0,2,34938.2552830043
2016-01-06 23:00:00,47.0,2,34938.2552830043
2016-01-06 23:30:00,48.0,2,34938.2552830043
2016-01-07 00:00:00,1.0,3,34938.2552830043
2016-01-07 00:30:00,2.0,3,34938.2552830043
2016-01-07 01:00:00,3.0,3,34938.2552830043
2016-01-07 01:30:00,4.0,3,34938.2552830043
2016-01-07 02:00:00,5.0,3,34938.2552830043
2016-01-07 02:30:00,6.0,3,34938.2552830043
2016-01-07 03:00:00,7.0,3,34938.2552830043
2016-01-07 03:30:00,8.0,3,34938.2552830043
2016-01-07 04:00:00,9.0,3,34938.2552830043
2016-01-07 04:30:00,10.0,3,34938.2552830043
2016-01-07 05:00:00,11.0,3,34938.2552830043
2016-01-07 05:30:00,12.0,3,34938.2552830043
2016-01-07 06:00:00,13.0,3,34938.2552830043
2016-01-07 06:30:00,14.0,3,34938.2552830043
2016-01-07 07:00:00,15.0,3,34938.2552830043
2016-01-07 07:30:00,16.0,3,34938.2552830043
2016-01-07 08:00:00,17.0,3,34938.2552830043
2016-01-07 08:30:00,18.0,3,34938.2552830043
2016-01-07 09:00:00,19.0,3,34938.2552830043
2016-01-07 09:30:00,20.0,3,34938.2552830043
2016-01-07 10:00:00,21.0,3,34938.2552830043
2016-01-07 10:30:00,22.0,3,34938.2552830043
2016-01-07 11:00:00,23.0,3,34938.2552830043
2016-01-07 11:30:00,24.0,3,34938.2552830043
2016-01-07 12:00:00,25.0,3,34938.2552830043
2016-01-07 12:30:00,26.0,3,34938.2552830043
2016-01-07 13:00:00,27.0,3,34938.2552830043
2016-01-07 13:30:00,28.0,3,34938.2552830043
2016-01-07 14:00:00,29.0,3,34938.2552830043
2016-01-07 14:30:00,30.0,3,34938.2552830043
2016-01-07 15:00:00,31.0,3,34938.2552830043
2016-01-07 15:30:00,32.0,3,34938.2552830043
2016-01-07 16:00:00,33.0,3,34938.2552830043
2016-01-07 16:30:00,34.0,3,34938.2552830043
2016-01-07 17:00:00,35.0,3,34938.2552830043
2016-01-07 17:30:00,36.0,3,34938.2552830043
2016-01-07 18:00:00,37.0,3,34938.2552830043
2016-01-07 18:30:00,38.0,3,34938.2552830043
2016-01-07 19:00:00,39.0,3,34938.2552830043
2016-01-07 19:30:00,40.0,3,34938.2552830043
2016-01-07 20:00:00,41.0,3,34938.2552830043
